Coulometric Methods	Principal, Instrumentation, Applications, Coulometric Titration etc.
Electrochemical cells under static conditions	Potentiometry
Electrochemical cells under dynamic conditions	Coulometry, electrogravimetry, voltammetry and amperometry.
What do you mean by dynamic in coulometry	A potential is applied from an external source forcing a nonspontaneous chemical reaction to take place ( Electrolytic cell)
The coulometric method	is an exhaustive electrolysis that is the quantitative reduction or oxidation of the analyte.
Coulometry measures the amount of analyte	by measuring the amount of current and time required to complete the reaction.
Types of Coulometry	1. Controlled potential coulometry: constant potential is applied to the electrochemical cell. 2. Controlled current coulometry: constant current is passed through the electrochemical cell.
Faraday’s law	Total charge, Q, in coulombs passed during electrolysis is related to the absolute amount of analyte: Q = nFN = It; where, n = no of moles of electrons transferred per mole of analyte, F = Faradays constant = 96487 Cmol-1, N = number of moles of analyte, Coulomb = C = Ampere sec = A s
How to measure Q?	 Q=nFN and img(https://blogger.googleusercontent.com/img/a/AVvXsEiDFz4FWvETwnWqRXlc6115OHC9IL0x6uAu2KMRINC3MBo5UokSazW2q5_7QoSlzVK_C9dPYEwcsnExd87srru8GQUFm1NzSGp0DNSUBasWWcoyQzY8OxLLaodRO11wM6fTIl-mI_e4zTbaMCRqasWX62DOm9zpTncAozILxr8PgGXF8IdVc5jWtcJuXXnq)
What do we measure in coulometry? 	Current and time. Q & N are then calculated according to one of the equations Q=It, Q=nFN, 
Coulometry requires 100% current efficiency, what does this mean?	All the current must result in the analyte’s oxidation or reduction, which means all the current should be used in oxidation and reduction.
Constant potential allows 	  the analyst’s reduction or oxidation without simultaneously reducing or oxidizing other species in the solution.
Other characteristics of controlled potential volumetry	It is also called potentiostatic volumetry. Characteristics: 1. The current flowing through the cell is proportional to the analyte concentration. 2. With time, the analyte’s concentration as well as the current will decrease. 3. The quantity of electricity is measured with an electronic integrator. 4. See image: img(https://blogger.googleusercontent.com/img/a/AVvXsEg3tHmOS6GEAMKNj-cyBgxfq-Bwl8gH7dUjhB4SKFDOj1SktAiT4to9DYcf0-a7TxbVYzFez5EQ863zf9FTYiQFguREYLn9S0OjyuV4On7T0n_KGh60aeFI5eVZXh28i7AR2tn2sIDn6X1W2wOHrTn3cKhG582BSK-Sx_Mlr6hylu381DM2lSsWgH2N_RYt)
How to select a Constant Potential	The potential is selected so that the desired oxidation or reduction reaction goes to completion without interference from redox reactions involving other components of the sample matrix. img(https://blogger.googleusercontent.com/img/a/AVvXsEigZ57dM9Gby1stigUYUnYp7v7ESgdNwUTXPp90zUfL-TOhQyPxp3hIqNb3DtGY3Rb9pCE2eDQDmoayXM7_kxJk_ADlO38t64_UsRt1VLkp0lgkXviBCWDQSunTWo1cfXJKzPln2k_Ey-DfwKFcFfdSLDhmgkvgWNky_KOOYjM50nfJiJkIKcBVsQNYFZ5i)
Exhaustive electrolysis requires a time	 longer.
Throughout electrolysis, current 	decreases
