Cyclic voltammetry	Useful for obtaining information about fairly complicated electrode reactions
this voltammetry Involves	 linear scanning of the potential of a stationary electrode using a triangular waveform
in this voltammetry	Solution is unstirred
The most widely used technique	 for quantitative analysis of redox reactions
Provides information on	(Keywords: thermodynamics, the kinetics of heterogeneous and coupled reactions, mechanism and rate, diffusion coefficient.)• the thermodynamics of redox processes • the kinetics of heterogeneous electron transfer reactions • the kinetics of coupled reactions • to determine mechanisms and rates of oxidation/reduction reactions • to determine the diffusion coefficient
- important parameters	- Epc – cathodic peak potential - Epa – anodic peak potential - ipc – cathodic peak current - ipa – anodic peak current img(https://blogger.googleusercontent.com/img/a/AVvXsEjAxGCnMR1lV2ftDhv3wnNXezQmC-VNcC6TYYWBXCe7T5V13cCrF51zZ7WVc-TGC3NcA08H6BDafM6lCkr0pilnxe9Xw1ToplPqDI72YoudLPjohi1A_Dwfoi6-MnwnDINEB9lAaBbIfpEjzLYA9iC_6VN0UOO4P56TYPCr77OhtlJGteN7r5RDagJoPKyO)
Formal reduction potential 	 (E1/2) = (Epa + Epc ) / 2
Δ Ep = 	(Epa – Epc) = 0.0592 V / n; n = number of electrons involved in the reaction
Cyclic voltametry various points	img(https://blogger.googleusercontent.com/img/a/AVvXsEj4e9CEyGWf5XhtxIozrHLtHeI0kKtO0GMQm9glCpB_1uqjEUSS9x8IMYg5bVrxiq8BrbjfNgHicldKgvxWepWwWyXObp_s2E7ttKQs3Q4u1eqdhgDhZoLw2pl3_FCVj7lTFSMeFD5d5ikhZYmkpqV849C7AE2iTQfbXf2my2uUG5UPb2up5z5gjIeOuufI) img(https://blogger.googleusercontent.com/img/a/AVvXsEjVN_f9egq91iEX7dAiNAT9JHAcaVVWaIcDzq-555lkkQhCENGwSIrizXozCH12lAEEjpwd_-ttQJ_EyLRO2zEzPN56FJDxrC7dIeQXoyodtSvrKKB8b-l0lwt0g_FXK8P9yBEBS0pj8vEsX61_l_zMT15Q4PUVGXbaI0sySZA9erkkRB0qJeGqSGalnc78)
Randles-Sevcik equation	for the peak current in linear sweep voltammetry (at 298 K) is: img(https://blogger.googleusercontent.com/img/a/AVvXsEjBb4LGPkz2zFUZh98MvhNutHK9NWWt5f3_6WwXZziSTmdw66asScftAiOp5aySVe8AgUy6toYfbAnQqsVDCi3JVT9BZJpB3qQcFsJEDWFddB9KCPDOJMzc_03nqt895dKCH8dBbKaqEbd6WU4Q80qZL453rCevU6SLP3dzj9-znxYGhIEGipaJ9jA5ZSb_)
peak potential separation for a reaction	The separation of the peak potentials, Epa - Epc, is an important parameter in cyclic voltammetry which can be used to calculate the reversibility of the reaction. The peak potential separation for a reaction with reversible electron transfer is given by: Epa-Epc = {~59/n} mV
ratio of the peak currents for reversible systems is 	A ratio of the peak currents, ipa/ipc which is one for reversible systems, is another important parameter in these systems. It is independent of the scan rate.
