Know about 	Glycolysis with diagram, steps in details
Glycolysis 	Glycolysis is a metabolic pathway that breaks down glucose into pyruvate, releasing energy. It occurs in the cytoplasm and consists of two phases: the preparatory phase, which consumes ATP, and the payoff phase, which generates ATP and NADH. The net result is the production of two ATP molecules per glucose molecule. Glycolysis is a fundamental process in cellular energy production.
Glycolysis features	 Glycolysis (from the Greek glykys, “sweet” or “sugar,” and lysis, “splitting”)  Glucose occupies a central position in the metabolism of plants, animals, and many microorganisms.
 The process of the breakdown of glucose into pyruvate is termed glycolysis.  Glucose is a good fuel; the complete oxidation of glucose to carbon dioxide and water proceeds with a standard free-energy change of 22,840 kJ/mol
Major pathways of glucose utilization or fates	img(https://i.imgur.com/r0zauPp.png)
Glycolysis sugar molecules	Glucose<br>Glucose-6-Phosphate<br>Fructos 6-Phosphate<br>Fructose-1,6-Bisphosphate<br>Glyceraldehyde 3-Phosphate + Dihydroxyacetone-Phostphate<br>1,3-bisphosphoglycerate<br>3–phosphoglycerate<br>2-phosphoglycerate<br>Phosphoenolpyruvate<br>Pyruvate
Enzymes in Glycolysis	img(https://i.imgur.com/UlqEDXj.png)
Preparatory phase	img(https://i.imgur.com/XdjyHqG.png)
Payoff phase	img(https://i.imgur.com/oH2eGC6.png)
Glycolysis Phases	Glycolysis comprises two phases: the preparatory phase and the payoff phase. In the preparatory phase, glucose undergoes phosphorylation and conversion to fructose derivatives, leading to the formation of glyceraldehyde 3-phosphate. Two ATP molecules are invested in this phase, increasing the free-energy content. The payoff phase involves the oxidation and phosphorylation of glyceraldehyde 3-phosphate, producing 1,3-bisphosphoglycerate and releasing energy. The subsequent conversion to pyruvate conserves energy, resulting in the phosphorylation of ADP to ATP. The net yield is two ATP molecules per glucose, compensating for the earlier investment. Additionally, two NADH molecules are formed per glucose in the payoff phase.
Phosphorylated Intermediates	Phosphorylated intermediates are molecules in metabolic pathways, like glycolysis, where a phosphate group is added to them. 
Phosphorylated Intermediates's Importance	In glycolysis, these intermediates play crucial roles in <b>1. preventing their exit from cells, 2. conserving energy, and 3. enhancing enzymatic reactions by lowering activation energy</b>. Examples include glucose 6-phosphate and 1,3-bisphosphoglycerate. <br>More: img(https://i.imgur.com/6qMePpb.png)
In which step Mg is needed	in the first three steps
Fates of pyruvate	1. In aerobic conditions, acetyl CoA formation, 2. In anaerobic conditions, lactic acid formation, 3. In anaerobic conditions, ethanol fermentation  img(https://i.imgur.com/q3xwH6g.png)
Gluconeogenesis	Gluconeogenesis is a metabolic pathway in the liver and kidneys that produce glucose from non-carbohydrate sources like amino acids and glycerol. It acts as the reverse of glycolysis, helping maintain blood glucose levels during fasting or low-carbohydrate conditions and enabling the body to produce glucose when dietary sources are scarce.
Show steps in gluconeogenesis	img(https://i.imgur.com/eGahg3Z.png)
What are the bypasses in gluconeogenesis?	1. Conversion of pyruvate to phosphoenolpyruvate (First bypass)<br>2. Conversion of fructose 1,6-bisphosphate to fructose 6-phosphate (Second bypass)<br>3. Conversion of glucose 6-phosphate to glucose (Third bypass)
Phosphorylation means 	the addition of phosphate group
