This page is showing about	Metalloporphyrin chapter all the important questions.
Porphine is a	specific organic compound, a type of porphyrin. It is a porphyrin without metal ions coordinated in its central cavity. This is a basic and simple form of porphyrins.
The structure of porhine consists of 	the same pyrrole rings connected by methine bridges, with no central metal ion.
Porphyrins are	a broader class of organic compounds that includes various derivatives of porphine.
The structure of porphyrin consists of	a macrocyclic structure composed of four pyrrole rings connected by methine bridges and a central metal ion is coordinated with the N atoms in the pyrrole rings.
Porphyrins are widely known for 	 their core structure heme in haemoglobin and myoglobin, chlorophyll in plants, and cytochromes in electron transport chains.
Metalloporphyrin	specific subset of porphyrins, there is a central metal cavity.
In summary about the relation of porphine, metalloporphine and porphyrin 	porphine and Metallo porphine are porphyrin
An example of porphine 	specific, 4 pyrrole ring connected by methine and no central metal atom.
Example of metaloporphyrin and porphyrin	heme, chlorophyll
The structure of the Heme group 	its core structure is a porphyrin ring's nitrogen atom coordinated with an iron atom. Two neighbours pyrrole have correspondingly a methyl and an ethenyl on each in the same order (methyl ethenyl methyl ethenyl). Another two neighbours have methyl and ethanol corresponding on each but in a different order(methyl ethenyl eheneyl methyl).
Another name for heme protein	hemoprotein
Hem protein	contains a heme group as a prosthetic group, it has Fe atom at its centre coordinated to the porphyrin ring. Because of it, blood is red coloured.
Examples of heme proteins	haemoglobin, myoglobin, electron transporters in the mitochondria, cytochrome P450
Myoglobin	stores oxygen in muscle cells
Similar to a subunit of Hemoglobin	Myoglobin
Structure of Myoglobin	It is a five-coordinated Fe complex having a globular protein at the fifth position and four nitrogen atoms of porphyrin ring on the other four positions.
Globular protein structure	Imidazole ring's 2 no carbon is connected to protein chain, 4 no Nitrogen is connected to central Fe atom.
The function of myoglobin	1. store oxygen(primary role), 2. increase oxygen solubility in muscle tissue, 3. facilitate oxygen diffusion
Hemoglobin	red protein, transfers oxygen in the blood of vertebrates, with four subunits, each containing an iron atom bound to a haem group.
Structure of Hemoglobin 	four polypeptide subunits: 2 alpha chains(141) and 2 beta chains(146)
Number of Hb in a red cell	640 million
Function of Hemoglobin	1. Binds oxygen molecules to their iron atom and transports them to muscles from the lungs. 2. Binds certain amino groups to bind CO2 and carry it back to the lungs. 3. Buffer, 4. Blood color
How does Hemoglobin carry oxygen?	Binds oxygen molecules to their iron atom and transports them to muscles from the lungs.
How does Hemoglobin carry CO2?	Binds certain amino groups to bind CO2 and carry it back to the lungs.
Deoxyhemoglobin(spin, coordination, shape)	5-coordinated high spin complex of Fe2+, square pyramidal
Oxyhemoglobin(spin, coordination, shape)	6 coordinated low spin complex of Fe2+, octahedral
Fe2+ go up by 0.75 Ansgstrom from the pyrrole plane 	in deoxyhemoglobin
High spin Fe2+ electron configuration using eg and t2g	eg2(dx2-y2 1, dz2 1) and eg4(dxy 2, dyx 1, dzx 1), the electrons in eg2 repel the lone pair electrons of nitrogen atoms. This repetition causes the going up of the Fe atom from the plane of the porphyrin ring moreover, the Fe atom is bound to an imidazole N atom and goes upward.
Deoxyhemoglobin structure/why iron atom slips into the planar porphyrin ring 	oxygen bound to the Fe2+ causes low spin of iron where the 6 d electrons occupy the dxy, dyz, dzx orbitals. The dx2-y2 and dz2 is then empty, so no repulsion occurs among the electrons and lone pair electrons of N. Thus iron atom slip into the center of the planar porphyrin ring and an octahedral complex is formed.
Cooperative effect	when an oxygen is attached to the heme group, another oxygen attaching becomes more easy. 
How does cooperation occur in heme to bind oxygen? 	This occurs in haemoglobin by the following: We know, that haemoglobin is made of four subunits of heme that contain a porphyrin bonded to Fe2+ and a globular protein called globin from a histidine molecule in protein bonded to the 5th position of Fe2+. When oxygen comes and bonds to one of the subunits' sixth position causes spin pairing. The Fe2+ moves into the plane of the porphyrin ring and in doing so, Fe2+ moves the histidine molecule attached to it as well. This causes conformational changes in the globin chain. As the globin chain is hydrogen bonded to the other three units, their conformation also changes. This enhances their ability to attract O2. This is the details cooperative effect phenomenon.
What change occurs in the quarternary structure of haemoglobin because of the cooperative effect?	upon oxygenation two of the groups move about 100 pm towards each other while the other two separate by about 700 pm.
 O2 adding reaction in Hb	Step 1: O2+Hb=HbO2;k1=5-60, Step 2: HbO2+O2=Hb(O2)2, Step 3: ..., Step 4: Hb(O2)3+O2=Hb(O2)4;k4=3000-6000
 What will cause if CN is bound to haemoglobin? 	Death occurs. As Fe-CN is a stronger bond, it's irreversible(not reversible like Fe-O), so O can't be interpreted here. O flow in the cell doesn't occur, so finally death occurs.
If the CO ligand is binded to the hemoglobin	same thing occurs like CN.
Blood components	plasma, red blood cells, white blood cells, and platelets.
Blood is a suspension of 	liquid plasma consisting of red blood cells, white blood cells and platelets
Plasma proteins 	 albumin, fibrinogen, globin, antibodies
Plasma consists of  	water, salt, ions(Na, K, Ca, Cl, phosphate, bicarbonate)
The function of blood	1. Transforming oxygen and nutrients to the lungs and tissues. 2. Forming blood clots to prevent excess blood loss.
Blood clotting mechanism 	When a tissue is damaged, platelets become activated and with thrombokinase enzyme, convert prothrombin into thrombin. This thrombin further activates the fibrinogen in the presence of Ca2+ to form fibrin. And finally clotting is achieved.
