Metabolism of Lipid	All details, figures, reactions, and concepts will be discussed here.
What are the characteristics of lipids? 	hydrophobic, not polymer, energy, hydrolysis, non-covalent interactions.<br> ❑ Lipids are hydrophobic in nature due to the predominance of hydrocarbon chain (-CH2-CH2-CH2-) in their structure.<br>❑ Unlike the proteins, nucleic acids, and polysaccharides, lipids are not polymer ❑ They are the chief storage form of energy, and they provide 6-fold(6-times) as much energy as an equivalent mass of glycogen ❑ Neutral lipids, upon hydrolysis produce glycerol and fatty acid ❑ Many lipids are amphipathic (both hydrophilic and hydrophobic) ❑ In aqueous environment, lipids associate by non-covalent interactions to form supramolecular structures such as monolayers, micelles, bilayers and vesicles.
How are lipids important to our body?	They are the structural components of the cell membrane. They help provide energy and produce hormones in our bodies. They help in the proper digestion and absorption of food. They also play an important role in signalling.
Fat and lipid relation	fat is the sub-group of lipid 
How are lipids digested?	The enzyme lipase breaks down fats into fatty acids and glycerol (GF), which is facilitated by bile in the liver.
Metabolism refers to 	the set of chemical processes in a living organism that sustain life. It involves the conversion of nutrients into energy and the synthesis of molecules needed for growth, repair, and maintenance.
How are lipids metabolized?	Lipid metabolism involves the oxidation of fatty acids to generate energy to synthesize new lipids from smaller molecules. The metabolism of lipids is associated with carbohydrate metabolism as the products of glucose are converted into lipids.
5. How are lipids released in the blood? 	lipids are insoluble in water, they are carried to the bloodstream by lipoproteins which are water-soluble and can carry the lipids internally.
6. What are lipids made up of? 	a glycerol molecule attached to three fatty acid molecules that is triglyceride
7. What is the classification of lipids?	FRCS: Fatti acids, Requirements, Chemical composition, Sources (biological significance)
Classification Based on the Chemical Composition	1. Simple Lipids: Fatty Acid, Triglycerides, Waxes 2. Compound Lipids: Phospholipids, Glycolipids, Lipoproteins 3. Derived Lipids: Steroids, Eicosanoids
Classification Based on Fatty Acids	1. Saturated Fatty Acids: lauric, myristic, palmitic, stearic, behenic, and lignoceric acids, 2.Unsaturated Fatty Acids: linoleic acid, linolenic acid, and arachidonic acid
Classification Based on Requirements by the Human Body	1. Essential Fatty Acids: linoleic acid, linolenic acid, and arachidonic acid 2. Non-essential Fatty Acids: palmitic acid, oleic acid, and butyric acid 
Biological Significance of Lipids	 1. Chemical Messenger 2. Energy Storage 3. The Structural Component of the Cell Membrane
8. What is fatty acid? 	1. simplest form of lipids, 2. monocarboxylic, straight, unbranched, even number of carbon atoms (4 to 36). 3. acyl group when it is a part of ester, 4. amphipathic in nature, 5. fatty acid can be esterified with glycerol to form triglycerides.
unsaturated fatty acid	1. double bond, 2. liquid at room temp, 3. low melting point, 4. delta number system for double bond (del 9 means double bond at 9 no carbon), 5. oleic, palmitoleic, 6. natural- cis, fermented- trans.
