Potentiometry Part 2	Here we will learn deeply about potentiometry. This is very important in analytical chemistry.
Another name for membrane indicator electrode	Ion-selective electrode
What are the requirements of a membrane? 	1. Solubility: Minimal solubility – solids, semi-solids and polymer. 2. Conductivity: Some electrical conductivity. 3. Reactivity: Selective reactivity with the analyte
Write down the types of membrane indicator electrodes. 	1. Crystalline: Single crystal (LaF3 for F-), Polycrystalline or mixed crystal (Ag2S for S2- and Ag+). 2. Noncrystalline: Glass (silicate glasses for H+, Na+), Liquid (liquid ion exchange for Ca2+)
Write the components of polymer membrane electrodes	Composed of a polymer such as polyvinyl chloride (PVC), a plasticizer, and the ion carrier or exchanger.
What are the characteristics of polymer membrane electrodes?	The response of these electrodes is highly selective and they have replaced many liquid membrane electrodes.
What are the applications of polymer membrane electrodes? 	Polymer electrodes have been used to determine ions such as K+, Ca2+, Cl- and NO3-
Example of polymer membrane electrode	Crown ether, valinomycin(very selective for K+) img(https://flash.cardcodegenerator.com/images/crown%20ether%20and%20valinomycin.png)
Ag/AgCl electrode principle	The Ag/AgCl electrode is a reference electrode, which means it provides a stable and known reference potential. It is commonly used in combination with other electrodes (e.g., a glass electrode) to form a complete electrochemical cell for measurements.
Glass electrode principle	The glass membrane is selective to hydrogen ions and allows them to pass through, generating a potential difference across the membrane. This potential is related to the pH of the solution. The glass electrode is commonly used in pH meters for measuring the acidity or alkalinity of a solution in combination with a reference electrode such as the Ag/AgCl electrode or Calomel electrode.
How can we measure the pH of a solution using different electrodes?	We can measure the pH of a solution in two typical ways: 1. Glass electrode and saturated calomel electrode as a reference electrode. 2. Glass electrode and Ag/AgCl electrode as reference electrode.
pH electrode	Combination of the glass electrode and Ag/AgCl reference electrode or combination of the glass electrode and saturated calomel electrode. In modern laboratories and industries, the trend is toward using Ag/AgCl electrodes or other non-mercury alternatives as reference electrodes due to safety and environmental concerns. 
Draw the electrode system for measuring pH using a calomel and glass electrode.	Here is the electrode system for measuring pH using calomel and glass electrode: img(https://flash.cardcodegenerator.com/images/glass%20electrode%20and%20calomel%20electrode%20to%20measure%20pH.png)
Draw the combined glass electrode with the Ag/AgCl reference electrode to measure pH.	Here is the combined glass electrode with Ag/AgCl reference electrode to measure pH: img(https://flash.cardcodegenerator.com/images/combined%20ag%20agcl%20electrode%20and%20glass%20electrode%20to%20measure%20pH.png)
Write down the cell notation of the glass electrode with the calomel electrode and Ag/AgCl electrode cell for the measurement of pH.	Using both a saturated calomel electrode (Ref electrode 1) and a silver/silver chloride (Ag/AgCl) electrode (Ref electrode 2) in conjunction with a glass electrode for pH measurements is less common in modern practice. Typically, one of these reference electrodes is chosen for use with the glass electrode. However, here the cell notation of these three electrodes is given below: img(https://flash.cardcodegenerator.com/images/glass%20electrode%20and%20two%20reference%20electrode%20to%20measure%20pH.png)
Write down the composition of the glass membrane.	Consists of approximately 22% Na2O, 6% CaO, and 72% SiO2.
What are the characteristics of glass membranes?	1. Membranes made from this glass exhibit excellent specificity to hydrogen ions up to a pH of about 9. 2. At higher pH values, however, the glass becomes somewhat responsive to sodium as well as to other singly charged cations.
Some recent advancements in glass membranes.	 Sodium and calcium ions are replaced to various degrees by barium and lithium ions. These membranes have superior selectivity and lifetime.
Write down the structure of the glass membrane and show the structure.	Membrane structure of silicate glass: 1. SiO4- frame with charge balancing cations (positive change, mnemonic: cation have plus like t, that means cation is positive). 2. Singly charged cations, such as sodium and lithium, can move around in the lattice and are responsible for electrical conduction within the membrane. img(https://flash.cardcodegenerator.com/images/silicate%20glass%20membrane%20structure.png)
Why do need membrane of glass surfaces to be hydrated?	Because non-hydrated glass surfaces show no pH as no ion exchange occurs. When the surface is hydrated or in aqueous condition, an ion exchange reaction at the surface occurs by singly charged cations in the interstices of the glass lattice and hydrogen ions from the solution. Here are the reactions that take place in the membrane: img(https://flash.cardcodegenerator.com/images/role%20of%20hydration%20of%20glass%20surface.png)
How to calculate boundary potential? Show with equation.	Eb is the boundary potential which varies with the pH of the analyte solution. Showing calculation with the equation: img(https://flash.cardcodegenerator.com/images/boundary%20potential%20calculation.png)
